Brands,Category,Example_Youtube_Link,Internatoina vs. no,Y or N comments,
SouthWest Airlines 1,Airline,https://youtu.be/5eGpvi_RgBk,Y,,
2,,https://youtu.be/PhVYDGguA7Y,Y,,
3,,https://youtu.be/04U3DTGHcXg,Y,,
Delta,Airline,https://youtu.be/lpBPuSKxLWk,Y,,
2,,https://youtu.be/3OOCca-Ef4o,Y,,
3,,https://youtu.be/CFG_x0e2bGQ,Y,,
United Airline,Airline,https://youtu.be/X_leOab_ln0,Y,,the featured video
,,https://youtu.be/inDP0M8URpA,Y,,
,,https://youtu.be/iKTulEgg1fk,,,
Emirates Airline,Airline,https://www.youtube.com/watch?v=IRoAQ3dmOUw,Y,,from the COVID playlist
,,https://youtu.be/zagDN0PpRog,,,
,,https://youtu.be/T6vYxmbGF0I,,,
Singapore Airline (2 ads),Airline,https://www.youtube.com/watch?v=1OlI-B7buhU,Y,No,
2,,https://youtu.be/LpKOPeJEu2k,,,
British Airways,Airline,https://www.youtube.com/watch?v=615KyCRUTnU,Y,No,
,,https://youtu.be/RextV72Js8U,,,
,,https://youtu.be/kLpGTkra9lE,,,
JetBlue Airways,Airline,https://youtu.be/V7tJlJt2iKc,,no,pick 3 out of 8 covid related
,,https://youtu.be/w1qZqpVDcL8,,,
,,https://youtu.be/Wy_ftbDP32w,,,
KLM Royal Dutch Airlines,Airlines,https://youtu.be/1-2OOj9DyPE,,no,
,,https://youtu.be/PY5rxgV53Gs,,,
,,https://youtu.be/DQeleaQJfoU,,,
Boeing,Airplane,https://youtu.be/qAXB_D5x70Y,,,
,,https://youtu.be/yK7J_v5JgAw,,,
,,https://youtu.be/KPTx2AAbnAg,,,
Wells Fargo,Bank,https://youtu.be/jZYaumiG_-8,,,feature video
,,https://youtu.be/slp-d4kXtFA,,,
,,https://youtu.be/lgqVKmwHFUg,,,
JP Morgan,Bank,https://www.youtube.com/watch?v=acBm_CKn1po,Y,No,
,,https://youtu.be/57nyMazqr6Y,,,
,,https://youtu.be/OAW3L3kXM_E,,,
Bank of America,Bank,https://youtu.be/ApWzNb1Vb_E,Y,No,this is alonger version
,,https://youtu.be/c4HP1WnIXrY,,,
,,https://youtu.be/-d5wZDIuTA0,,,
Citi Bank,Bank,https://youtu.be/OYd5JUM9ubI,Y,Yes,
,,https://youtu.be/OwKPo9Ps7js,,,
,,https://youtu.be/pR7-oMS0kNg,,,
Kia (2 ads),Car,https://youtu.be/keyruF6XLdw,Kia america,Yes,
,,https://youtu.be/FpoOp2Ozelw,,,
LEXUS (europe) 1ad,Car,https://youtu.be/aXQV7z4aVwo,usa: no,,
Nissan (2ads),Car,https://youtu.be/IUY0Z8cOM2s,nissan usa,,
,,https://youtu.be/AWwA0qifofM,,,
HYUNDAI,Car,https://youtu.be/RRJiYeIxJpY,Y,Yes,
,,https://youtu.be/PL1scZfgrDA,,,
,,https://youtu.be/eVVN0wbmoCM,,,
Honda,Car,https://youtu.be/qCOSbhjuO44,Yes,,
,,https://youtu.be/iDhvS7Z5GbY,,,
,,https://youtu.be/9ROkrzPN3qM,,,
Toyota (australia) 2 ads,Car,https://youtu.be/TPyYHidQYNY,"australia: 2, us: 0",,
,,https://youtu.be/tCdw6ZBauSE,,,
Ford,Car,https://youtu.be/pjqK6suf8f4,Yes,yes,
,,https://youtu.be/D6EfgxjLv9s,,,
,,https://youtu.be/B6ajWLvHefQ,,,
MAZDA,Car,https://youtu.be/P49GN3qPT9c,USA,,
,,https://youtu.be/e6PKDEzSjS8,UK,,
,,https://youtu.be/vEI4Hg4EC9U,UK,,
Volkswagen,Car,https://youtu.be/zGh_bhpJPQ8,,also found on volkswagen news channel,
,,https://youtu.be/9t_w0q_QchM,,,
,,https://youtu.be/p-VxwAGBZ3A,,,
Enterprise,Car Rental,https://youtu.be/gxK6nG2O-G4,US,,
,,https://youtu.be/mPu1a8meE0w,US,,
,,https://youtu.be/pKKLvgzmrX4,UK,,
BWM ,Car Rental,https://youtu.be/oAVyJ-4pSvg,BMW usa,Yes,
,,https://youtu.be/fH83FDT8e2I,USA,,
,,https://youtu.be/32QATr6BLdY,Singapore,,
Audi ,Car Rental,https://youtu.be/GXX-Crvp_DQ,Audi USA,,
,,https://youtu.be/xaDvZk0d0SM,HK,,
,,https://youtu.be/dycL05yYyNQ,Singpaore,,
Fedex,Delivery,https://youtu.be/wqOYNLsznGw,,,
,,https://youtu.be/sal56G3rNQ8,Not relevant,,
,,https://youtu.be/6vpQzfmctTI,,,
UPS (2 ads),Delivery,https://youtu.be/4xWMMV7NjkI,,,
,,https://youtu.be/7-OI8A_OzJg,,,
USPS,Delivery,https://www.youtube.com/watch?v=uuNLLZcSTKE,,"2 versions same, different timing, different voices",
,,https://youtu.be/xdGIwQDbf_Y,,,
,,https://youtu.be/OAO3QpT3f_s,,,
Hudson's bay (2 ads),Department Store,https://www.youtube.com/watch?v=uGyLPWSv3RE,,,
,,https://youtu.be/ZaMh_KdrQB8,,,
Nordstrom (1ad),Department Store,https://youtu.be/kVvyC99gvHk,,,
Macy's (2 ads),Department Store,https://www.youtube.com/watch?v=L7bx6Sa9-3M,,,
,,https://youtu.be/hMfIR6ndXsw,,,
Coca-Cola,Drink,https://youtu.be/SukwNeHMMhQ,,,
,,https://youtu.be/vUMQeNw2QDA,,,
,,https://youtu.be/qyYROCpfcs4,,,
Budweiser,Drink,https://www.youtube.com/watch?v=A0bRrajlEkU,2 what's up UGC,,
,,https://youtu.be/eg5ZMkS8zfM,,,
,,https://youtu.be/_urOBfPYs54,,,
HEINEKEN,Drink,https://youtu.be/XDD2Xhdq_Ds,,,
,,https://youtu.be/WZnHkv5-z4k,,,
,,https://youtu.be/znNGqU73QHw,,,
PepsiCo (2 accounts),Drink,https://youtu.be/jYvVoK7yeZs,pepsico,,
,,https://youtu.be/4YWjeAdY-JQ,pepsi,,
,,https://youtu.be/8ot1vG7CD_o,pepsico,,
Jack Daniel's (1ad),Drink,https://www.youtube.com/watch?v=nmVRFui61U4&has_verified=1,,,
GE Appliance,Electirc,https://www.youtube.com/watch?v=kx2H8JtqWUE,,,
,,https://youtu.be/pSzXkuxJnXA,,,
,,https://youtu.be/bWgpvb9dP4g,,,
Indiana Electric Cooperatives (1ad),Electric,https://youtu.be/By9CTD8u3LY,,,
FirstEnergy (1ad),Electric,https://youtu.be/O3P1PgaT-Vo,,,
Samsung (1ad),Electronics,https://youtu.be/gSR8MMbcNXc,Y,,
Apple (2ads),Electronics,https://www.youtube.com/watch?v=Kl1NW7h7lrY,,,
,,https://youtu.be/6_pru8U2RmM,,,
Bose (1ad),Electronics,https://www.youtube.com/watch?v=CsRUYdJKjkM,,,
 Disney Parks,Entertainment,https://youtu.be/Gbf2motKUIU,disney parks,,
,,https://youtu.be/4QLuDC5oJ_c,,,
,,https://youtu.be/k3ynRXi7N7I,,,
Universal Studio (2 ads),Entertainment,https://youtu.be/XFDX2iy5njw,,,
,,https://youtu.be/De1d6TlYkKw,,,
Netflix,Entertainment,https://youtu.be/sgZ7RKyDrLg,,,
,,https://youtu.be/uFf6YPqh1TM,,,
,,https://youtu.be/9JaGmaiKRLA,,,
seaworld (1ad),Entertainment,https://www.youtube.com/watch?v=pglezCqEDxU,,,
HBO (1ad),Entertainment,https://www.youtube.com/watch?v=NhqYoB4QtLI,,,
CapticalOne (1ad),Finance,https://www.youtube.com/watch?v=VdOgdWY78XI,,,
Mastercard (1ad),Finance,https://www.youtube.com/watch?v=Zm4uNYSn67o,,,
Principle Financial Group (2ads),Finance,https://www.youtube.com/watch?v=VsfbdivP_zE,,,
,,https://youtu.be/g9QvTtBoyiw,,,
Taco Bell (1ad),Food,https://www.youtube.com/watch?v=S106j_RXwtw,,,
Little Ceasers (2 ads),Food,https://youtu.be/Zlthvxtfc54,,,
,,https://youtu.be/20NNu4lFnXo,,,
ALDI,Food,https://youtu.be/uzmGl-jRGf4,USA,,
,,https://youtu.be/H8UFmNKjldk,,,
,,https://youtu.be/lzzuMy_NOdg,,,
Dunkin Donuts,Food,https://youtu.be/k6XCW2OSrE8,,,
,,https://youtu.be/joeCoHyPR9k,,,
,,https://youtu.be/JDZ-obEnUv0,,,
Burger King,Food,https://youtu.be/Yi8O9NFZnYk,,,
,,https://youtu.be/IsQ7Wto0FJg,,,
,,https://youtu.be/ZfYCTM5kjoM,,,
McDonald,Food,https://youtu.be/BFgW4S6zOQU,global,,
,,https://youtu.be/6MzwfeBAPh4,,,
,,https://youtu.be/V4mk5oXEOwE,,,
Piazza Hut (2),Food,https://youtu.be/b5uGMojy-Ew,australia ,,
,,https://youtu.be/wwYatqspVQs,global ,,
Domino ,Food,https://youtu.be/YkC7za-qkIc,india,global: 0,
,,https://youtu.be/_N1CND2qBuc,australia ,,
,,https://youtu.be/lrYu3q2kH8o,US,,
KFC (1),Food,https://youtu.be/-3-XkAwfsms,ireland,global: 0,
Heinz Ketchup (1ad),Food,https://youtu.be/msex9J5PLJM,,,
Five guys (1ad),Food,https://www.youtube.com/watch?v=zPK_AxtMPLE,,,
Starbucks Coffee (2ads),Food,https://youtu.be/kpGybd7mQmU,,,
,,https://youtu.be/oq9DcWr3t4U,,,
Panda Express (2),Food,https://youtu.be/TMyrUIB5Yug,,,
,,https://youtu.be/A2ppna5llTE,,,
IKEA ,Furniture,https://youtu.be/8wdxlo3SzkM,us,,
,,https://youtu.be/bCMDfvuuN4o,UK,,
,,https://youtu.be/zg0Hei0cjl0,espana (english),,
Shell (1),gasoline,https://www.youtube.com/watch?v=dvv51YGoKj8,,,
Fareway Stores (2),Grocery,https://youtu.be/hGBR9WxRY9k,,,
,,https://youtu.be/1vu17gO5frA,,,
kroger,Grocery,https://youtu.be/713wOFahyak,,,
,,https://youtu.be/QAx7FYlaf_A,,,
,,https://youtu.be/sJrKIQnR2kM,,,
3M,Health,https://www.youtube.com/watch?v=0qgaMIvvEIs,,,
,,https://youtu.be/F667eucNLEI,,,
,,https://youtu.be/5oWU-usXNjo,,,
Molina Healthcare,Health,https://youtu.be/6KmhMd52Dvw,,,
,,https://youtu.be/Pw916-bqunc,,,
,,https://youtu.be/TK_fOzOChOE,,,
Blue shield of california,Health,https://www.youtube.com/watch?v=wUDQv0b0edU,,,
,,https://youtu.be/suES8kyiCpY,,,
,,https://youtu.be/8n5T-zwICTQ,,,
GE Healthcare (likes low) 1ad,Health,https://youtu.be/hj471XIIcgg,,,
Delta Dental of Iowa (1),Health,https://youtu.be/8OS_YgepEH0,"has different brands in some states, likes low",,
Marriott International ,Hotel,https://youtu.be/VXGEeydxN90,indonesia,,
,,https://youtu.be/YPs0_zg6tuc,indonesia,,
,,https://youtu.be/Cx4etpebRSc,indonesia,,
Nationwide Insurance (1),Insurance,https://www.youtube.com/watch?v=clIfHRbMvQ4,,,
Farmers Insurance,Insurance,https://youtu.be/Iz9bvfPaALQ,,,
,,https://youtu.be/VAGVnnIGjLo,,,
,,https://youtu.be/90LiIqxx4kI,,,
Interior Federal Credit Union (1),Insurance,https://www.youtube.com/watch?v=yeA-yco4Cuc,,,
Cigna,Insurance,https://youtu.be/RIEJzI9qp_8,,,
,,https://youtu.be/y4o23bhFLNo,,,
,,https://youtu.be/bDG3DahBwcc,,,
GEICO (2),Insurance,https://www.youtube.com/watch?v=uAQF3_KbGDM,,,
,,https://youtu.be/WqP7g9yoHs4,,,
State Farm (1),Insurance,https://youtu.be/XU91f1ee0zo,,,
Google,Internet,https://youtu.be/QRRnoCHC8vg,,,
,,https://youtu.be/-rtuEgAHWw0,,,
,,https://youtu.be/9iPvLx7gotk,,,
Facebook,Internet,https://www.youtube.com/watch?v=nWwVFywBCeY,,,
,,https://youtu.be/fcEpTfXPhnw,,,
,,https://youtu.be/AARdkJfTYFY,,,
microsoft,Internet,https://youtu.be/Bohfd_taj2Q,,,
,,https://youtu.be/5sb2eCbEzPw,,,
,,https://youtu.be/W6_dWvQYnno,,,
Uber,Internet,https://www.youtube.com/watch?v=_e8XLnMiCOE,,,
,,https://youtu.be/FNjo5wlE-l0,,,
,,https://youtu.be/ih1zuU269og,"picked this one, 5th",,
Grubhub (2),food/app?,https://youtu.be/t1Ir_e8Clxg,,,
Doordash (1) tech company,Internet,https://youtu.be/NIbddB4YPjA,,,
Slack (1),Internet,https://youtu.be/hdHWQgVbVSQ,,,
Lyft,Internet,https://youtu.be/uwJNZXrnWIk,,,
,,https://youtu.be/2iAd4mvdPkA,,,
,,https://youtu.be/gbZ2f1kPOIk,,,
Grab (2),Internet,https://youtu.be/Y8FcJ6erB_0,,,
,,https://youtu.be/bfZv3aHKpaU,,,
Airbnb (1),Internet,https://www.youtube.com/watch?v=XhaTCzKrEtE,,,
Pinterest (1),Internet,https://www.youtube.com/watch?v=0kCVlMhSV90,,,
Salesforce (1),Internet,https://www.youtube.com/watch?v=hSm5ODjdkF0,,,
Twitter (1),Internet,https://www.youtube.com/watch?v=kv_JGodpToI,,,
Youtube ,Internet,https://www.youtube.com/watch?v=6egQkFx7UkM,,,
,,https://youtu.be/LeKzvbBb5QQ,,,
,,https://youtu.be/gznuqMpFJ7E,,,
IBM,IT Solution,https://www.youtube.com/watch?v=cW4fPWmaXsY,,,
,,https://youtu.be/w2cjw0LZvLU,,,
John Deere,manufacture,https://www.youtube.com/watch?v=Z5zbT7JD-iw,,,
,,https://youtu.be/cx7VlQ5W38I,,,
,,https://youtu.be/vhQbd3NaksM,,,
The New York Times (1),Media,https://www.youtube.com/watch?v=R33PT49Lor0,,,
Dove (2),Personal Care,https://www.youtube.com/watch?v=QJKVesLpQwY,,,
,,https://youtu.be/sQOq0-ODBbc,,,
PetSmart,Pet retailer,https://youtu.be/3dzfJ60ZjNE,changed to a longer one,,
,,https://youtu.be/BhrCuFPhVpY,,,
,,https://youtu.be/dXipKRgrsjQ,,,
Petco,Pet retailer,https://www.youtube.com/watch?v=IzbgEzNSMrc,,,
,,https://youtu.be/kCjMuk1SjXI,,,
,,https://youtu.be/XpVJ8-oqEDw,,,
CVS,Pharmacy/Retail,https://www.youtube.com/watch?v=XVyHMLvD0-4,,,
,,https://youtu.be/6gxp2g_13dA,,,
,,https://youtu.be/qnFCqpkYX6M,,,
Wagreen,Pharmacy/Retail,https://www.youtube.com/watch?v=l5o6NpOFYMQ,,,
,,https://youtu.be/_N-xN3HWPlw,,,
,,https://youtu.be/fZp7BdXf25s,,,
Union Pacific (2),Railroad,https://youtu.be/hPkRVOCt-rI,,,
,,https://youtu.be/cggcTyjtSGE,,,
RE/MAX,Real Estate,https://youtu.be/C74RkTCbLJ8,global,,
Amazon,Retail,https://youtu.be/_Z7PY4bOvvo,,,
,,https://youtu.be/Cu0Oip4Pwig,,,
,,https://youtu.be/mwSLYX21HGI,,,
Publix,Retail,https://www.youtube.com/watch?v=gSSXf744Rk8,,,
,,https://youtu.be/avxj2pKzBE4,,,
,,https://youtu.be/uN9lKz1x1_0,,,
Target,Retail,https://www.youtube.com/watch?v=IpK5v4NDvC8,,,
,,https://youtu.be/DwHmG8kw-pw,,,
,,https://youtu.be/raJ7LSuLNfU,,,
Tesco (1),Retail,https://www.youtube.com/watch?v=v_DaKh1_Y8I,,,
Walmart,Retail,https://youtu.be/UYp3XBQU-Jg,CEO,,
,,https://youtu.be/IRmq9rc5Dq8,,,
,,https://youtu.be/fz2d2sQUnao,,,
Best Buy,Retail,https://youtu.be/yF5rFXY1Vn8,,,
,,https://youtu.be/LeZL6lVtJtw,,,
,,https://youtu.be/_TRhWxhDhhk,,,
Office Depot,Retail,https://youtu.be/H3M1_n5dZkk,,,
,,https://youtu.be/VMYDHNsajPY,,,
,,https://youtu.be/AKwXZLQrYFo,,,
Kohl's,Retail,https://www.youtube.com/watch?v=1DszEhWYtos,,,
,,https://youtu.be/8TZwVKyg9K4,,,
,,https://youtu.be/MPXxFBpM0XQ,,,
Sam's Club (1),Retail,https://www.youtube.com/watch?v=mwx4XzAS3BM&t=16s,,,
Oracle,Software,https://youtu.be/Bmitpn8Sq7I,,,
,,https://youtu.be/qt8ETs1QW6U,,,
,,https://youtu.be/Y035AE3a8is,,,
NIKE,Sports,https://youtu.be/R-t8qPldklc,,,
Adidas ,Sports,https://www.youtube.com/watch?v=3-pVZ7MCJfQ,,,
,,https://youtu.be/Rwk5PdpTxSU,,,
,,https://youtu.be/V_ozu_7Xweg,,,
NFL (1),Sports League,https://www.youtube.com/watch?v=1-Bbj10hTbY,,,
AT&T,Telecommunication,https://www.youtube.com/watch?v=eEFe2_YocMU,picked 2,,
,,https://youtu.be/sBC5a75OywQ,,,
,,https://youtu.be/5A8rYTkWVfE,,,
Sprint (1),Telecommunication,https://youtu.be/ZtJP8SlwYus,,,
Vodafone,Telecommunication,https://youtu.be/5p95cuOuqYg,,,
,,https://youtu.be/Q2PvqVzZ7NM,UK,,
,,https://youtu.be/rjfxHRuEPuE,UK,,
Xfinity,Telecommunication,https://www.youtube.com/watch?v=1eDOzBDfQ74,picked 3,,
,,https://youtu.be/jozqPWTow58,,,
,,https://youtu.be/FU-lV2eFnsE,,,
Discount Tire (1),Tire retailer,https://www.youtube.com/watch?v=2zgfLxM4BKc,,,
Cottonelle (2),Toilet Paper,https://www.youtube.com/watch?v=mwQ1metUv2o,,,
,,https://youtu.be/ozV1veBF9Pg,,,
PENSKE,Transportation,https://www.youtube.com/watch?v=yzwtsvWW1ZE,,,
,,https://youtu.be/-1r1lRBxPEc,,,
,,https://youtu.be/7wxn1l7rCsM,,,
U-Haul (1),Transportation,https://www.youtube.com/watch?v=znp9CNPnSw0,,,
Flight Centre (1),Travel Agency,https://www.youtube.com/watch?v=Tpic431sS3k,"this is from NZ, same as UK channel. No US one",,
Spectrum,"TV, Internet and Voice",https://www.youtube.com/watch?v=PGkbFdPdqo0,,,
,,https://youtu.be/mNjc5Ll4wlY,,,
,,https://youtu.be/K7Nn7LUzpsI,,,
King Price (1),insurance,https://youtu.be/M35_uhXFbmE,south africa,,
Bumble,"electronics, tech",https://youtu.be/OQuCMm9QkeA,UK,,
,,https://youtu.be/HIZ9OEmZj2M,,,
official Frito-Lay,,https://youtu.be/aqOvJ_9YVa4,US,,
,,https://youtu.be/UtOia-mrl0A,,,
,,https://youtu.be/y8GN25O9wfY,,,
Cadbury (1),candy,https://youtu.be/kU9bENZ_0Uc,UK,,
Guinness,beer,https://youtu.be/GWVW5p62sO8,this youtube channel did not exist anymore..,,
Portal from Facebook,,https://youtu.be/xONayh2vzb4,"only no. of views, no for likes/dislikes",,
Pfizer,medicine,https://www.youtube.com/watch?v=nzj0rRCyalM,,,
,,https://www.youtube.com/watch?v=RaLr0ELM494,,,
,,https://www.youtube.com/watch?v=Xl0tEfLve1U,,,
Clear (1),hair care,https://youtu.be/sq0mA1K5B0U,SG,,
Adobe (1),software,https://youtu.be/8xZWuwxSYhY,,,